bookId,edition,state,chapters,timed,missing,audioHours,missingHours,hasAudioFlag
a-little-princess,modern-en,partial,19,1,18,6,5.81,true
a-little-princess,original-en,none,19,0,19,6.09,6.09,false
anna-karenina,modern-en,partial,239,85,154,32.61,22.46,true
anna-karenina,original-en,partial,239,86,153,33.3,22.59,true
antigone,modern-en,partial,11,4,7,1.02,0.8,true
antigone,original-en,none,11,0,11,1.01,1.01,false
antony-and-cleopatra,modern-en,partial,42,7,35,2.92,2.7,true
antony-and-cleopatra,original-en,none,42,0,42,2.9,2.9,true
apology,modern-en,partial,3,2,1,0.7,0.53,true
apology,original-en,complete,3,3,0,0.98,0,true
aristotle-politics,modern-en,partial,8,4,4,8.11,5.09,true
aristotle-politics,original-en,none,8,0,8,8.45,8.45,false
around-the-world-80-days,modern-en,partial,37,5,32,6.09,5.26,true
around-the-world-80-days,original-en,none,37,0,37,6.43,6.43,false
as-you-like-it,modern-en,partial,17,3,14,2.13,2.04,true
as-you-like-it,original-en,none,17,0,17,2.15,2.15,false
bacchae,modern-en,partial,11,5,6,1.33,1.03,true
bacchae,original-en,partial,11,2,9,1.32,1.21,true
beowulf,modern-en,partial,43,29,14,2.56,0.86,true
beowulf,original-en,none,43,0,43,2.53,2.53,true
beyond-good-and-evil,modern-en,partial,11,3,8,6.54,4.55,true
beyond-good-and-evil,original-en,partial,11,5,6,6.61,3.05,true
bible,kjv-en,partial,1189,1178,11,68.46,0.74,true
bible,modern-en,partial,1189,1118,71,62.98,4.67,true
bible,web-en,partial,1189,1112,77,66.16,5.27,true
brothers-karamazov,modern-en,partial,96,27,69,32.09,24.19,true
brothers-karamazov,original-en,partial,96,23,73,32.13,25.38,true
candide,modern-en,partial,30,14,16,3.05,1.93,true
candide,original-en,none,30,0,30,3.12,3.12,true
comedy-of-errors,modern-en,none,11,0,11,1.63,1.63,false
comedy-of-errors,original-en,none,11,0,11,1.65,1.65,false
communist-manifesto,modern-en,partial,5,4,1,1.28,0.37,true
communist-manifesto,original-en,partial,5,3,2,1.29,0.73,true
confessions,modern-en,partial,13,11,2,9.96,1.76,true
confessions,original-en,partial,13,10,3,9.97,2.1,true
coriolanus,modern-en,partial,29,4,25,3.1,3,true
coriolanus,original-en,none,29,0,29,3.09,3.09,true
crime-and-punishment,modern-en,partial,41,5,36,18.04,16.25,true
crime-and-punishment,original-en,partial,41,3,38,18.9,17.93,true
crito,modern-en,complete,3,3,0,0.42,0,true
crito,original-en,none,3,0,3,0.49,0.49,true
