chapter	paragraph_index	class	review_edited	live_sha256	candidate_sha256
1	0	wording		575c2e8da2a12906d5f219bbd0f691d472579845252e08d6dd9dc4c552c6d21c	6f0f2a8ea3785576f7a6f57683c70f52dff72695258367ab1577036d3bd971c8
1	1	wording		ec7a5c81db29fdbc377761dcdc4325f9563875fc68ddf28603d57efd1484809b	6c00a6de96d85d934871b32620704e430e00d67525b2f94e364f5e323ad4adcc
1	2	wording		1edb6c50861bd76f2df3e8897e8e0132dc224a88373ae10e2b63f85b17c86c11	92b695cbd30da5ddcc91a6db053068825f4d7993cf4781b7365891e26aed99a9
1	3	wording		e56b624d3a0b3e88656e2b5a6c7f11729eea9dc2441f5531e1f9df9a87d9851b	4472b54877a418dbcbe2d9e306de897e63c90ed88d7de2be48186e91c638752a
1	4	wording		a152138969d8a851f703807ce6cd22d39dc16ef7a1e6e59de3781cba33840c21	a069d45db9c667d83b8c8ef7d054707312ebafa1c785bc984379f9bf75a3ae60
1	5	wording		1ce6715d3bc367580fb6d7310d1a8e49d035569891bc9b14f74dc497d051c0b6	9edee6b7e3c66e8fc914a373dbc784f0a82d668fdb1e25c5c97663f3a39f37fd
1	6	wording		f961db91030d52320ced4a2f26cd6cc532944552027cdeb3b2b593eee153e875	4b132b03dcbc6b360d12b3929e422cc31bcbd29cb5ecc8d8a2652998fa64fa90
1	7	wording		6ebba9702926a1397aa3acb2133fdd758a6fa2429f08cbeb2b3570d000d9ddb1	d6d418a6488047724c64137d1d059d43e8b7dfafd547a81f42485c2cf7e20566
1	8	wording		f06eef4548c7eada267c4c71544c491171373cec221fb337de4a45f6da91f3b9	0f665d8fcd79a5c2799938769265660548c658be1f841ac0de4845b4637ab946
1	9	wording		c8a8da68a267847ef7a4751cc95c4212b92789d275e428efa94bb6a7b5e6f364	6f7a36316edcd1c9bf273a446f12036bd733ad1d5c61be1159ceb7fc820e5936
1	10	wording		0aad78b7c08f379286df4284d93c0bc6f34e730ed32315423a78cb126c63ddf2	6ffc2da399b62a9fabb1f9faad7dd40f553db099502a8fb9dd73e91109478223
1	11	wording		e25a5cfae9010a74f8839706f340d2199a22cf1df6dfb6c2baf5a407f0398ba4	580f19b8aa17ba1466621e14d04396d04782a34f96df64a0bbb3640cb0c3a35a
1	12	wording		d148e1ba495b61aa66d2263f928bb4d0bc8512e8c2e26ae22d8fea99e8066859	b75fbaadcb5ae1d781b5df5f054783bf44f9a3eaeb591cbf0a63d05e6ae0a3a9
1	13	wording		e5b75192f004ed36f3f7dd61d69ec11160fbd6f015a3fe3cb97088bb228cd2bf	e996cbdad089ff490204a16f3bd6de7fa2604eac8f14874372f6417f9cea4967
1	14	wording		1b62dfc77f64adc1ad7170b99e7fb928c6418a82259cce862c945110eb60b7ca	515afc3ab50ae3f3f9111b5d9137ba784d401ac79b34bdef4d79c23a54202e8c
1	15	wording		20cd3079fb64c97b160023daadabfd99af0cac1919c8453efd0d2b9b84a0290e	1be5fe7a4cb554842ee45a5a2a7a19191ae178e1025b0384b267d91b1852cc01
1	16	wording		36f29290051fab14fea50f834f1ec7157ad848fcc01f7886caf2ba7930a4ef49	73850747e2b5df14e127fe7f64fb6bbff358e95eda54a498b3a7c20c832ab156
1	17	wording		8e57a113e5a9440d17cc34b131fe6ad285b1cea8812b53cd5fe23ec52090f9e8	8f3085f9f21af5bbc92ffdd40871bb2bc9ffcd351141c75b7ca2d5c09cc0a600
1	18	wording		93aa548f2639d41c306591229da53c1c2fbdfe571af31198765c4e2fe21c315d	6075feb20feb50e42c708aab5f913b285e13d47b8ac2b5cbc1b5530136fe21f4
1	19	wording		3e038ebc90d7e24c1863251fae452dca9f6c7bdd10c424e3d69782f56c5b03be	e8c8475bfcc97ed983eab568ee632595bf24f3872772ec85d160e97316cfed01
1	20	wording		8cdcf45ca58abc1eaf8dd0f6dc81c06f9794e4bacc6e38ce0dc0eca10ccabb00	c272ffa69f944d3f500e2ed44bf7ccae869002d6c3a7043dd837f405783a5c7f
1	21	wording		203f5ce3f96223787aac926e0ede2bd7780f34738fcdac7329e9ab105f9cb272	4f884e17a77abbd5c6dccf8f62d46a789f20d685ee992e85342c9e51743fac16
1	22	wording		dea154bc47f626257c7b8b722788c318956f17d39575e32fa8048401a9c3cac2	c009dcaf519498dd2e77834241e9914015fa57115805aedcfffab7647293898b
1	23	wording		f1503edf5e80cf5729e02308a18b97321dd4254b8428aff3db49afe90afcb379	7651de803cd1f7fd36e01ee6eac307c9ced47e312e69880b1efd5429af9b22be
1	24	wording		ec33dd0fe95d69bc6595988d780a842df7b9f9622abfe3e9bd72007647c4874b	c1b1c09a0edb4c8630dd216d7c81d15d97fe641e8f06c131fe8e634bfe3636b7
1	25	wording		f66e79de8b675617d25d8c78fbcfbe7ae473f549839b09f63db5f26bb4c66eca	7b56ec3c0c1f00609c6b40fb594cb2aa8aec190f530a70a71cf71fb81a25ce99
1	26	wording		0417c41f53e3b6ebf9d009b34737ba4a9784167546462cd8de205a24c2d829db	ac7ab1d75e4d442ae34df9ea9649f81df3a248f0fc737d1ba4a4cf7807024108
1	27	wording		f4bbeeaf044df0debc2ec6eabb70087d98e31c7dafdb9f752372527e343fe28d	815b0f42fae87d69f80b05136a073e5b5d0e275108cfe1c9e413206a6f137159
1	28	wording		38a64eec2b412d8b74c6bddf99cf97bec40a5fc0fd5e5ef86e0580cd9b3ed112	5248509d42c3963ad03cb9f4f6b34974efd29ca7b5bd43e5498d3c7d92787298
1	29	wording		20a817bc72b6b4b1416d50a9ee803e1ed5774056655c30d9eb0f671644b3dc19	776bd552af8d40ca1978494e9bee42188275d10d91ab6d93c1e852b92025b920
1	30	wording		453019fad68ab6c6aaf976106e3592d78cf570432bac1e8062dd19edd2d3ef26	08dbbdb0e082cb827f2d14bf07ae026a3161bc87bd9d6819b1de212e85209f74
1	31	wording		46c6c779e8f96fd9b3a4d3d473ef92916af9c731f4e3fc14f91253f09073d2eb	4026f1f838829c884a8acc1f9950932fdad7f201b0f43974ed2ba867aae2ca0a
2	0	wording		776fc70b7947f0434b5f89ae022d53ba9c0d5dadfa791ab8ad9f8fac902fe957	88c326f1294376eec4c0c4e57c245f5f0d58ee2188994d79bbef260e5ade5176
