key	modern_en_sha256_16	original_da_sha256_16	served_slots
1.0	da494dce7a3b0a32	27fe0293f535b4d3	1.0,1.1
1.1	677d5f8fc4b53aaf	1577f60a594e45f7	1.2
1.2	d6b59d3d9f2f97cb	48be3bd64000a970	1.3
1.3	f103678a199d2f7a	6238a57f0e03394c	1.4
2.0	372713c9a640656c	ee781ea6480a4e6f	2.0
2.1	f34caa9784e9b31f	903b3327b87893eb	2.1
2.2	64edb57e48a657c9	265f60a8ad601576	2.2
2.3	568cbd15c2ff113a	73fe9578122ffc4b	2.3
2.4	c7ffb09cbe6781d8	f7959990212f5d7b	2.4
2.5	95a8d2664984f8fc	9d95aa743252b8a5	2.5
2.6	0d0f875a2eb43c28	d4e63bf338769601	2.6
2.7	86d3fe3fdd315a5b	08a47349087a6146	2.6
2.8	4499884cbe116de7	000ac731e832c8c6	2.7
2.9	b8695c469e52422a	fbc4602c300a57d9	2.8
2.10	ba64e97835c5e39f	61d966356b0ca194	2.8
2.11	5d15efa3e4f3f1ff	e132a6c53157ad1b	2.9
2.12	14404f91ac62c987	2be2ecfd56057498	2.10
2.13	a5de99dd9db57328	0145c4681bf08021	2.11
2.14	96c9d95232a6eb9e	b866e0b37c5388e5	2.12
3.0	91bd3471053570da	04cfa27c1602a0c0	3.0
3.1	38f5fd483122dd83	de4493c57a9e93cf	3.1,3.2
3.2	1b7af96c9bbaa3ae	12344d1a3dd339e7	3.3
3.3	aabc678d0121e209	f97c0cdfb727e3ac	3.3
3.4	332d492d75bb0776	fcd4a57bdfa982a0	3.4
3.5	89860ecd162f4591	602e89654e63adc9	3.5
3.6	4684fe5c0b45946c	6eca77f2f45e136f	3.6,3.7
3.7	ee0b7c1d69bed1e6	e33e8330d75ca28a	3.8
3.8	66abb1c869587767	3e8e967ccf449c29	3.9
3.9	7673636fd3f3164b	a5c030b451dc1641	3.10
3.10	3cc899aed85fbcbc	475a4d7c001ccd24	3.11,3.12
3.11	db555759aafe0e7f	2f4f44e95aee8583	3.13
3.12	f8b12e1ea0d861f5	91459bed8a51e419	3.14
3.13	f3cca8125bdd8ba1	653cf3f5ac36705b	3.15,3.16
4.0	ce6ff660d5c5cbde	fab0ff2216987418	4.0
4.1	901b1c6d7e379515	4e4eef712bf6cc70	4.1
4.2	1644abc3fb32b772	4520d8de81b5205e	4.2
4.3	c1ffbeb1e379843c	3670c74581e5f330	4.3
4.4	82e28d4b87491da0	35dcc7c701ddac6c	4.4,4.5
4.5	31a1e439a62a81b2	7c6ddd29a4540bd0	4.6
4.6	b563c45e93bc05b5	c576f5c67352b6f2	4.7
4.7	1058be68dfbbe45c	e68276e7fc1ae337	4.7
4.8	31d58bd1caa06d17	e7fdcc00f68926a0	4.8,4.9,4.10
4.9	4364dcf589a1892e	a034dcb7ffad9a8e	4.11,4.12
4.10	7c157877ac41538c	6f7329eb712bea84	4.13
4.11	37db791faf2edd2c	28f71d413571218b	4.14
4.12	6e5206f03c8c30f4	7abc236ea91051ed	4.15
4.13	d08cee20ab1ed214	ea3186d7509a9e75	4.16
4.14	9e709cd932c050a3	d3119ac8d9e63941	4.17
4.15	5d4fd4b2c38b9a30	c37450433254371d	4.18
4.16	11d9264faa9d8c79	9f2df76f815293cf	4.18,4.19,4.20
4.17	ce095e5a901c5abc	75274426d8a53204	4.21,4.22,4.23
4.18	3444c1e52ab574c7	06aff935a569e383	4.24
4.19	939f9314e69503c2	91019c3be397d173	4.25
4.20	44d6608fd3cfac81	1f68151227503ef1	4.26
4.21	8ada5124d44ecc8f	338f63ce4f8f39ea	4.27
4.22	34df2b4eeceb0a09	534d92a5bfbc6709	4.28
4.23	df0b041e8bfba91a	a7f8dda3096ee9d3	4.29
4.24	000690ad0692a203	f89ba5e88793a384	4.30
4.25	183957d9bc63190b	9afe0483b7ea7989	4.31
4.26	d868737f6a9f068b	2c461ba8c06f9ba0	4.32,4.33
4.27	00d794f9ac074754	adbe9af392544c40	4.34
4.28	36aca8781fdf49cb	3ae8be92346aa17e	4.35
4.29	2a1a0ca91c7a1c25	bbe231c4a1e4f4b5	4.36
4.30	f90ecd7e349bc85d	3656ca0435fa2bea	4.37
4.31	01e0bd6500b7ac18	fd001b8832d1f81d	4.38
4.32	ff4185de3796d7c7	6b8caa87b474e94f	4.39
4.33	0db3aa96f152a518	abcec1c7c8ceafc3	4.40
4.34	e4e38eebc8edcf5b	72574b8a59092f0e	4.41
5.0	d28aa00a732a5071	1c1ce155d62a87e0	5.0
5.1	2695dda8cb709ed8	8f9c31573521136c	5.1
5.2	ec58f08d6a7531fc	06953d3e4d6c889a	5.2
5.3	84fbaeb99174db69	a9bd1e968c52fa1f	5.3
5.4	d560f14eecca9f94	c1503a55052b84fe	5.4
5.5	6dec24172b6490b0	7c549d7bc147c449	5.5
5.6	1675c8598794d0fa	9f8ec7b7f43318e2	5.6
5.7	d1425015ab988fe0	d391c5ec0afe00ea	5.7
5.8	e449c520080ee1a2	e606f648bbe38adb	5.8
5.9	4e40f8e64e8ca4a8	23ecb36972166b6c	5.9
5.10	df77686837a78515	fc8ea1b00e046a61	5.10
5.11	96e89f8a5deeeca9	3a081028053fe50d	5.11
5.12	507c34472e9f913c	9f4290c146f5f442	5.12
5.13	b7b7347fbdedd9c0	e9a98b72cabb1c06	5.13
5.14	cbe63a211c54e1e3	13072a0cbe465a30	5.14
5.15	6d09d655e92c4c43	46b27fab88eb48b7	5.15
5.16	a7ebf36894c8cf5a	f6fbb84633397ea6	5.16
5.17	1edec892e6fb27f1	eacf2e9ed24faa99	5.17
5.18	b2e3761ba00f535b	72a80510fcab4b87	5.18
5.19	e506f0bc96fb16e3	295401c824057550	5.19
5.20	52d83676dfd781c6	098e06f8bf537a58	5.20,5.21
5.21	d6a7902ea00e0b01	cab2fa1ab2f4d907	5.22
5.22	45afcccd5acc892c	c4f6c369e393b499	5.23
5.23	c406a49ce33cbc50	ad99e0d5645c6259	5.24
5.24	a2d2b733521e272f	4398429763a122ed	5.25,5.26
5.25	1f771f1119852879	d5d8ea65b8ac38a6	5.27
5.26	c168ea8e1c25be5a	3d71e5652ff2449a	5.28
5.27	4d72156e6cccde83	8bdd67082167a8cc	5.29
5.28	a6bced6e025438bf	3d61fd6592c5549b	5.30,5.31
6.0	2fcd211a11bbf7a9	ee68aba304b68840	6.0
6.1	3c2796cb3e3d1002	7708ed5c1fb762bd	6.1
6.2	5d687c548be4924c	5eb61a5b1fbec241	6.2,6.3
6.3	df8ea52f49c642e3	844030b817ee3d1e	6.4
6.4	d45dfe64022a9d51	bc7e7a892a902288	6.5
6.5	fd88ac9df1a5a7c4	d28fa51ae1909b41	6.6
6.6	75a1a6714d7e04c0	c9f0c9a91e284cec	6.7
6.7	6c4ff84f5792e516	6831b588287e5768	6.8
6.8	8723599631ebe18b	818865f330651bc9	6.9
6.9	43672b873502fe5c	cc3703619d876bec	6.10
6.10	fe72c1905d288377	ed4265db5333359b	6.11,6.12,6.13,6.14
6.11	42ed02cc8aa96e75	031724b1ca952807	6.15
6.12	3e99516932bf6f7c	935b84fe71d76459	6.16,6.17
6.13	ec9b1b05fa623e0b	70a609c629116f69	6.18
6.14	38ae204e721f5b8e	9f20748624ad9f43	6.19
6.15	5f95c51920ceb895	1f7a7e80e5425002	6.20,6.21
6.16	4d86bf02bccf9d0b	a944e5c69ae385f8	6.22
6.17	2c07f61f8a0e6300	d9d9abd6c73b6325	6.23
6.18	8d0613e7c35a809a	ef4b29b1e8eef011	6.24,6.25
6.19	3946b31e6ea42d20	7497411ee460feb1	6.26
6.20	b0c9007dcdb2419d	a8e34bbd0b3c98c8	6.27
6.21	2eee77fe842ab6ba	fe8fc8db25e82f3f	6.28
7.0	cfadc9bcf3186944	761dc491d1477b54	7.0
7.1	f6db18a2e4f73d81	9250aec0e732caff	7.1
7.2	f39f3974a4079faa	bdbe5506c3391754	7.2
7.3	eb099022e0fc21c5	51c0e0e750c4f51f	7.3
7.4	40204205390b9f5c	4e214f269fd55566	7.4,7.5
7.5	025ae3746c15a5d0	42fb4983a8dc1b80	7.6
7.6	4284a75fde6369a2	9eec6e73b5f4d778	7.7
7.7	47c8a3716c4c0e11	c1c3a4f7f4e39e45	7.8
