# Coordinates: chapter number (1-based) . paragraph index (0-based), in the pinned input.
# Chapters not listed map by identity (same chapter, same index, same text).
# merge-tail offset = UTF-16 code units to ADD to any character offset in the old tail paragraph
# (= UTF-16 length of the old head paragraph + 1 for the joining space). It differs per edition.
old_chapter	old_index	new_chapter	new_index	op	offset_shift_original_en	offset_shift_modern_en
3	0	3	0	keep	0	0
3	1	3	1	keep	0	0
3	2	3	2	keep	0	0
3	3	3	3	merge-head	0	0
3	4	3	3	merge-tail	664	625
3	5	3	4	renumber	0	0
3	6	3	5	renumber	0	0
3	7	3	6	renumber	0	0
3	8	3	7	renumber	0	0
3	9	3	8	renumber	0	0
3	10	3	9	renumber	0	0
3	11	3	10	renumber	0	0
3	12	3	11	renumber	0	0
3	13	3	12	renumber	0	0
3	14	3	13	renumber	0	0
3	15	3	14	renumber	0	0
3	16	3	15	renumber	0	0
3	17	3	16	renumber	0	0
3	18	3	17	renumber	0	0
3	19	3	18	renumber	0	0
3	20	3	19	renumber	0	0
14	0	14	0	keep	0	0
14	1	14	1	keep	0	0
14	2	14	2	keep	0	0
14	3	14	3	keep	0	0
14	4	14	4	keep	0	0
14	5	14	5	keep	0	0
14	6	14	6	keep	0	0
14	7	14	7	keep	0	0
14	8	14	8	keep	0	0
14	9	14	9	keep	0	0
14	10	14	10	keep	0	0
14	11	14	11	keep	0	0
14	12	14	12	merge-head	0	0
14	13	14	12	merge-tail	161	163
14	14	14	13	renumber	0	0
14	15	14	14	renumber	0	0
14	16	14	15	renumber	0	0
14	17	14	16	renumber	0	0
22	0	22	0	keep	0	0
22	1	22	1	keep	0	0
22	2	22	2	keep	0	0
22	3	22	3	merge-head	0	0
22	4	22	3	merge-tail	388	378
22	5	22	4	renumber	0	0
22	6	22	5	renumber	0	0
22	7	22	6	renumber	0	0
22	8	22	7	renumber	0	0
22	9	22	8	renumber	0	0
22	10	22	9	renumber	0	0
22	11	22	10	renumber	0	0
22	12	22	11	renumber	0	0
22	13	22	12	renumber	0	0
22	14	22	13	renumber	0	0
22	15	22	14	renumber	0	0
22	16	22	15	renumber	0	0
22	17	22	16	renumber	0	0
22	18	22	17	renumber	0	0
22	19	22	18	renumber	0	0
30	0	30	0	keep	0	0
30	1	30	1	keep	0	0
30	2	30	2	keep	0	0
30	3	30	3	keep	0	0
30	4	30	4	keep	0	0
30	5	30	5	keep	0	0
30	6	30	6	merge-head	0	0
30	7	30	6	merge-tail	162	164
30	8	30	7	renumber	0	0
30	9	30	8	renumber	0	0
30	10	30	9	renumber	0	0
30	11	30	10	renumber	0	0
30	12	30	11	renumber	0	0
36	0	36	0	keep	0	0
36	1	36	1	keep	0	0
36	2	36	2	keep	0	0
36	3	36	3	merge-head	0	0
36	4	36	3	merge-tail	479	458
36	5	36	4	renumber	0	0
36	6	36	5	renumber	0	0
36	7	36	6	renumber	0	0
36	8	36	7	renumber	0	0
36	9	36	8	renumber	0	0
36	10	36	9	renumber	0	0
36	11	36	10	renumber	0	0
36	12	36	11	renumber	0	0
36	13	36	12	renumber	0	0
46	0	46	0	keep	0	0
46	1	46	1	keep	0	0
46	2	46	2	keep	0	0
46	3	46	3	keep	0	0
46	4	46	4	keep	0	0
46	5	46	5	keep	0	0
46	6	46	6	keep	0	0
46	7	46	7	keep	0	0
46	8	46	8	keep	0	0
46	9	46	9	keep	0	0
46	10	46	10	merge-head	0	0
46	11	46	10	merge-tail	169	165
46	12	46	11	renumber	0	0
46	13	46	12	renumber	0	0
46	14	46	13	renumber	0	0
46	15	46	14	renumber	0	0
46	16	46	15	renumber	0	0
46	17	46	16	renumber	0	0
46	18	46	17	renumber	0	0
46	19	46	18	renumber	0	0
46	20	46	19	renumber	0	0
46	21	46	20	renumber	0	0
46	22	46	21	renumber	0	0
46	23	46	22	renumber	0	0
46	24	46	23	renumber	0	0
46	25	46	24	renumber	0	0
46	26	46	25	renumber	0	0
46	27	46	26	renumber	0	0
46	28	46	27	renumber	0	0
46	29	46	28	renumber	0	0
46	30	46	29	renumber	0	0
46	31	46	30	renumber	0	0
48	0	48	0	keep	0	0
48	1	48	1	keep	0	0
48	2	48	2	keep	0	0
48	3	48	3	keep	0	0
48	4	48	4	keep	0	0
48	5	48	5	keep	0	0
48	6	48	6	keep	0	0
48	7	48	7	keep	0	0
48	8	48	8	keep	0	0
48	9	48	9	keep	0	0
48	10	48	10	keep	0	0
48	11	48	11	merge-head	0	0
48	12	48	11	merge-tail	881	843
48	13	48	12	renumber	0	0
48	14	48	13	renumber	0	0
48	15	48	14	renumber	0	0
48	16	48	15	renumber	0	0
48	17	48	16	renumber	0	0
48	18	48	17	renumber	0	0
48	19	48	18	renumber	0	0
48	20	48	19	renumber	0	0
48	21	48	20	renumber	0	0
48	22	48	21	renumber	0	0
48	23	48	22	renumber	0	0
48	24	48	23	renumber	0	0
48	25	48	24	renumber	0	0
48	26	48	25	renumber	0	0
48	27	48	26	renumber	0	0
48	28	48	27	renumber	0	0
48	29	48	28	renumber	0	0
48	30	48	29	renumber	0	0
48	31	48	30	renumber	0	0
48	32	48	31	renumber	0	0
48	33	48	32	renumber	0	0
48	34	48	33	renumber	0	0
