coord	sha256	changed
1.0	9e150465f88db76c985172418549984441c0d1a61ae0b275751a72ab6dc2b670	0
1.1	a98d0588169ba107421c3451527fa5ee83458c6f64b2e1e46ab0716f527cac59	0
1.2	57f89513547828053bdee4dccf941901b9114a617eabe9ae88692a9ac3cf5c39	1
1.3	948c5a49fae274bbdfb4cf5c73409717bbf91827b0402a2225159129585b21d8	0
1.4	f2edc6f149c8d69f69b7c01c61e442465924816551f681fff9a44473f442de8f	1
1.5	6cc7533c2f72475fdfef5ee6e887c2c5391d6283da6d8758954c8ae595b5f8b1	1
1.6	89f4faa5902b491e8863f8a05218502acdedcfb9e3407b30dc3a1fd068b4d705	0
1.7	85ca223aba9fcde83a66659f19cfce0ea3079fbf8017a273f42025efe3ea7bf4	0
1.8	917dfe5fccd35769cb26838d82b62655c79de01c4863c1effd75dbc392084480	1
1.9	889c0dc63f6cb16507d3869b47babd73eb2199665a8be2e87872b47f2730c031	1
1.10	11c4a64ebdba49cf270bbadb60ebd7c870acfdfeb1d4c375a0c978ca4c17736c	1
1.11	4e68add1fe2e2646655f6c311b19f1744627dbfa7d5767c0fe100c1de3664a1c	0
1.12	9b686625175710137baea565ad230baba5854e5117d541fbd414c60ced86314a	0
1.13	710f4ae0cb273ae408dcb39221452fa1a0f2010738ce94c9b86f8fa3b5b6c18c	0
1.14	18b39a529fff06d3211fe30f792b26a6b5abe70e75a3dd3b4a6feeca0d5ae867	0
1.15	b5855c3671568c249e493999e24e1a927cd5c651ffcea7d0a70589fe6c9a5f9b	0
1.16	86bca81817d4b466a961d41ed303b93cc9d2589e75cab042bda983653b1a6198	0
1.17	d1a6c4ee3c5cc1f8b7f442fe56008dacfda06c4caeab74d55ab94caa60c30637	0
1.18	ad58253f9262de14fab0ecbbe12ca79867cbfded450ecb51686e31b007124e69	0
1.19	6e7386f7f58136b697aaacdb3617a1ba9b0536c1509d4dfbe4ab4f7e56e89903	0
1.20	2221297eb9f176bb7696b6284b33bd40167757029c5f43878942d8401d9d6fdc	0
1.21	867c715fbe9dfb78206f9ba7f5abf0442939db607c7cb8c5ba3b34b79601e7e6	0
1.22	2391d5107977c02ecb304714c9e814e89eff9de523d674eb9bf553413877e8bb	0
1.23	08fc8dfd1c67fe49c3f1af76d7f6580055f55920fe699c2ffe540dcbf227bdcf	0
1.24	7df310d5b43d72342d472ead3cd2a378274d2ab4caae7d53f39cbd91dc2b0b37	0
1.25	9acdc3c9ee6addc3a9fe5b26d18a641fb803e347265c98d7c24e5043d044c40e	0
1.26	652f9f7b578d1e91d0ad4766ae716fe8cf2bdaf8d2ee85ce304ede1fe2c69061	0
1.27	22d7184cd01de1605016d87bd14bf812c23d2918edcc419db76df8c6993286cc	0
1.28	56aa85860541ec4b994d5b6fd91a0a709e462394d67325105783ff26085beb0c	0
1.29	0c957fd288dbbf9a25bfdb3a9d6ecec5e534ec5cabe12472b79af1fefa6df061	0
1.30	c0898df15d7362a22afeebda9321b9b011b76acf8083720cdfbcec5305bf67e1	0
1.31	0469cdbcfbe9c6d8c307bc276ab892132ab79c199e9d0b8b1ed55283f552e1fe	0
1.32	f0742898cd51c1b95d604ef5a9b8640f61b6d84ceac44bb4b3d7719abaaf46e8	0
1.33	c685d55e3c455155f3a298376989842efc13d7fb6471b35865d7b34b50f3310b	0
1.34	76206bc3b8c6ed469c0813bc491daf0aa14b9d84ad0d3f9f175af629dabf6718	0
1.35	9ac8f28b81b201639648b8bd85f9627e186e1575dedd4ebc07487e626e7b059d	0
1.36	727711f9cc5a22dabb539181626406b6d55bdd50f77e3a3a00fb70c15dd2b75f	0
1.37	12ce2dbbaa3383e39881601fd3de67a609fa9effcdf017f6a38dc3981cd3bacc	0
1.38	467b70723e3209bafd49fcf5d119e3ed04f3efead5d51e39fe67edb4b686982a	0
1.39	11b647822fcdf2938a72233eca13be77ba1e18f57dd719a1151b6e1e38074875	0
1.40	a6c14ee18ee6ba00ee81b5ba9e31a7eab3b9b2578651001a0ab2d64c331f8244	0
1.41	8af8b4d98247658ff2ca68f864781243f64231475a633340dd15cd774d0c4c3a	0
1.42	27c60a1574e43e443339e00e6cd1d541944363a0bf878ac678dcb937725f1640	0
1.43	e2fe51e2452dfb21ac3dacf01e1994a28faa2e9e34facfe5ec9629c07bfc1ccf	0
1.44	427d4c2b49fbf1c5c6cdcdc7771bf7af1d9a4f5f3af3028905c56569903c1c24	0
1.45	d27e4c838d83730ad99acb5687b8753b31fd2470f4f78d5e001419fbd0f4c3d0	1
1.46	ebcb0e2b837b2234f5fcfba7d9d8898752460194dab6bceb45f965753f00375a	0
1.47	5d86edac362fde95621bc4c0677fa14c85b0de7de2f77cd569367f4b373b727c	0
1.48	a5fbbce185a135540adf2ac891bbde27e2a95e2c12329cdbf8df350bb24a6893	0
1.49	34da4a31b1622aea264deed8b08aca3b05e1a9028f207e66e697113a8b8a904f	0
1.50	a483fda96b9279049c71160cd91e2302ad294b8cf3005c8326d3549b5e289416	0
1.51	a620e386eb925a9328b82b4102afff29fd896c352f60ee2c2fea8d61ec54df55	0
2.0	338ad1c7855103a831564c61ea7d7f31a9f7151836c5cb9f07b258c85a4132c0	0
2.1	fc772b25a2dd1909144539c510375a45b3860b436f553d034b295511747363bb	0
2.2	39d9ce63837ef52043311572d3673975d68f410ff8c1b056ac6c8f553233c6e2	0
