edition	old	new	old_sha16	new_sha16	note
original-en	56.title	56.title	b50252cd91c2d113	3a674fe2f1c5d700	title reassembled: 'Chapter 56 — Of the Less Erroneous Pictures of Whales, and the True' + fragment -> 'Chapter 56 — Of the Less Erroneous Pictures of Whales, and the True Pictures of Whaling Scenes'
original-en	56.0	56.title	59be00e51d6c2a66	-	fragment 'Pictures of Whaling Scenes.' merged into title; paragraph removed
original-en	56.1	56.0	12cf029c543eb6f4	12cf029c543eb6f4	text unchanged; index -1
original-en	56.2	56.1	1d133a847f68eab4	1d133a847f68eab4	text unchanged; index -1
original-en	56.3	56.2	5a07112de62e1454	5a07112de62e1454	text unchanged; index -1
original-en	56.4	56.3	68a52b9d58595d94	68a52b9d58595d94	text unchanged; index -1
original-en	56.5	56.4	dd609a6f1eb1af0a	dd609a6f1eb1af0a	text unchanged; index -1
original-en	56.6	56.5	300e5a293c7c41d5	300e5a293c7c41d5	text unchanged; index -1
original-en	56.7	56.6	280b1087c2d86fcf	280b1087c2d86fcf	text unchanged; index -1
original-en	56.8	56.7	ab25e7686f94ae7c	ab25e7686f94ae7c	text unchanged; index -1
original-en	57.title	57.title	d411bdc70debc7e8	ec1ae29590b71453	title reassembled: 'Chapter 57 — Of Whales in Paint; in Teeth; in Wood; in Sheet-Iron; in' + fragment -> 'Chapter 57 — Of Whales in Paint; in Teeth; in Wood; in Sheet-Iron; in Stone; in Mountains; in Stars'
original-en	57.0	57.title	6119d9767ec24a2a	-	fragment 'Stone; in Mountains; in Stars.' merged into title; paragraph removed
original-en	57.1	57.0	4224a2f085c92bb3	4224a2f085c92bb3	text unchanged; index -1
original-en	57.2	57.1	bea86f0a04571f21	bea86f0a04571f21	text unchanged; index -1
original-en	57.3	57.2	ba8a9d539914e937	ba8a9d539914e937	text unchanged; index -1
original-en	57.4	57.3	e97b2915e58e449b	e97b2915e58e449b	text unchanged; index -1
original-en	57.5	57.4	59b7531c46a41cb1	59b7531c46a41cb1	text unchanged; index -1
original-en	57.6	57.5	0b67853aa4bae352	0b67853aa4bae352	text unchanged; index -1
original-en	57.7	57.6	3a2270bf94075f9f	3a2270bf94075f9f	text unchanged; index -1
original-en	57.8	57.7	96249172545fc554	96249172545fc554	text unchanged; index -1
original-en	57.9	57.8	df89eb4a8e816a02	df89eb4a8e816a02	text unchanged; index -1
original-en	57.10	57.9	1333d1ce2bc70624	1333d1ce2bc70624	text unchanged; index -1
original-en	57.11	57.10	91f3ef0b57eb400f	91f3ef0b57eb400f	text unchanged; index -1
original-en	73.title	73.title	10e113411a1107e0	19eafcc2d69759a2	title reassembled: 'Chapter 73 — Stubb and Flask kill a Right Whale; and Then Have a Talk' + fragment -> 'Chapter 73 — Stubb and Flask kill a Right Whale; and Then Have a Talk over Him'
original-en	73.0	73.title	344667324e5ef42e	-	fragment 'over Him.' merged into title; paragraph removed
original-en	73.1	73.0	88c5293277aec0fe	88c5293277aec0fe	text unchanged; index -1
original-en	73.2	73.1	3e0fe3b32c286b98	3e0fe3b32c286b98	text unchanged; index -1
original-en	73.3	73.2	2f1c21a4a4d942d4	2f1c21a4a4d942d4	text unchanged; index -1
original-en	73.4	73.3	6b495a71575ff53c	6b495a71575ff53c	text unchanged; index -1
original-en	73.5	73.4	beb8a69c5e400483	beb8a69c5e400483	text unchanged; index -1
original-en	73.6	73.5	3f23240ab0bc586e	3f23240ab0bc586e	text unchanged; index -1
original-en	73.7	73.6	739325851b9269ac	739325851b9269ac	text unchanged; index -1
original-en	73.8	73.7	f27d1d3ed89cb524	f27d1d3ed89cb524	text unchanged; index -1
original-en	73.9	73.8	8c45c483231ad4a3	8c45c483231ad4a3	text unchanged; index -1
original-en	73.10	73.9	4e1ec9520795a50e	4e1ec9520795a50e	text unchanged; index -1
original-en	73.11	73.10	cb4885ead76aa58e	cb4885ead76aa58e	text unchanged; index -1
original-en	73.12	73.11	d8ee40aeef8deb97	d8ee40aeef8deb97	text unchanged; index -1
original-en	73.13	73.12	a4a91a613434cbd8	a4a91a613434cbd8	text unchanged; index -1
original-en	73.14	73.13	9cab12cf57a85868	9cab12cf57a85868	text unchanged; index -1
original-en	73.15	73.14	ab6612ad45c614f2	ab6612ad45c614f2	text unchanged; index -1
original-en	73.16	73.15	04e602e363dfff7b	04e602e363dfff7b	text unchanged; index -1
original-en	73.17	73.16	8752a7878bb6348f	8752a7878bb6348f	text unchanged; index -1
original-en	73.18	73.17	4fb04070bdf0cb84	4fb04070bdf0cb84	text unchanged; index -1
original-en	73.19	73.18	b98bd9547bcb294a	b98bd9547bcb294a	text unchanged; index -1
original-en	73.20	73.19	9088139bb699c910	9088139bb699c910	text unchanged; index -1
original-en	73.21	73.20	25c99f8904635552	25c99f8904635552	text unchanged; index -1
original-en	73.22	73.21	e47962ed03c1b578	e47962ed03c1b578	text unchanged; index -1
original-en	73.23	73.22	b9fbd1f16808b94f	b9fbd1f16808b94f	text unchanged; index -1
original-en	73.24	73.23	4501f87a4b55f38e	4501f87a4b55f38e	text unchanged; index -1
original-en	73.25	73.24	314fc89f0fbff054	314fc89f0fbff054	text unchanged; index -1
original-en	73.26	73.25	3e535807e6fd9c52	3e535807e6fd9c52	text unchanged; index -1
original-en	73.27	73.26	4347e22caa4c7b36	4347e22caa4c7b36	text unchanged; index -1
original-en	73.28	73.27	40e79ccaaf4ff230	40e79ccaaf4ff230	text unchanged; index -1
original-en	73.29	73.28	18ad38be81977dc4	18ad38be81977dc4	text unchanged; index -1
original-en	73.30	73.29	e8bd7cdc7c9ebde2	e8bd7cdc7c9ebde2	text unchanged; index -1
original-en	73.31	73.30	269ab4f297c550ef	269ab4f297c550ef	text unchanged; index -1
original-en	73.32	73.31	e98446767d5080cd	e98446767d5080cd	text unchanged; index -1
original-en	73.33	73.32	060a002358d7510b	060a002358d7510b	text unchanged; index -1
original-en	73.34	73.33	6d53bbb16b6a388f	6d53bbb16b6a388f	text unchanged; index -1
original-en	73.35	73.34	d69db31769dec61e	d69db31769dec61e	text unchanged; index -1
original-en	73.36	73.35	3c620e496b2dff7b	3c620e496b2dff7b	text unchanged; index -1
original-en	73.37	73.36	2694b49ea07d2b00	2694b49ea07d2b00	text unchanged; index -1
original-en	73.38	73.37	3dfd476e3105f24b	3dfd476e3105f24b	text unchanged; index -1
original-en	73.39	73.38	95901c30a2162d9b	95901c30a2162d9b	text unchanged; index -1
original-en	73.40	73.39	d7ad91f715123323	d7ad91f715123323	text unchanged; index -1
original-en	73.41	73.40	f6e3623219e17ad9	f6e3623219e17ad9	text unchanged; index -1
original-en	73.42	73.41	2896cf05a8933f96	2896cf05a8933f96	text unchanged; index -1
modern-en	56.title	56.title	b50252cd91c2d113	3a674fe2f1c5d700	title reassembled: 'Chapter 56 — Of the Less Erroneous Pictures of Whales, and the True' + fragment -> 'Chapter 56 — Of the Less Erroneous Pictures of Whales, and the True Pictures of Whaling Scenes'
modern-en	56.0	56.title	59be00e51d6c2a66	-	fragment 'Pictures of Whaling Scenes.' merged into title; paragraph removed
modern-en	56.1	56.0	97fec6013518bb4a	97fec6013518bb4a	text unchanged; index -1
modern-en	56.2	56.1	8d24ae14caaa332b	8d24ae14caaa332b	text unchanged; index -1
modern-en	56.3	56.2	ac708180fc6ffbeb	ac708180fc6ffbeb	text unchanged; index -1
modern-en	56.4	56.3	8200a968bd3fc300	8200a968bd3fc300	text unchanged; index -1
modern-en	56.5	56.4	7dc2704f194c850e	7dc2704f194c850e	text unchanged; index -1
modern-en	56.6	56.5	6e2c1b61204b9616	6e2c1b61204b9616	text unchanged; index -1
modern-en	56.7	56.6	82888bc27fc2ffe3	82888bc27fc2ffe3	text unchanged; index -1
modern-en	56.8	56.7	cf6505d64898b809	cf6505d64898b809	text unchanged; index -1
modern-en	57.title	57.title	d411bdc70debc7e8	ec1ae29590b71453	title reassembled: 'Chapter 57 — Of Whales in Paint; in Teeth; in Wood; in Sheet-Iron; in' + fragment -> 'Chapter 57 — Of Whales in Paint; in Teeth; in Wood; in Sheet-Iron; in Stone; in Mountains; in Stars'
modern-en	57.0	57.title	6119d9767ec24a2a	-	fragment 'Stone; in Mountains; in Stars.' merged into title; paragraph removed
modern-en	57.1	57.0	06daddf89503abb0	06daddf89503abb0	text unchanged; index -1
modern-en	57.2	57.1	cba96cfff2a4badb	cba96cfff2a4badb	text unchanged; index -1
modern-en	57.3	57.2	67144bcc798250d2	67144bcc798250d2	text unchanged; index -1
modern-en	57.4	57.3	849d3956c2324654	849d3956c2324654	text unchanged; index -1
modern-en	57.5	57.4	7990de72ce7215ac	7990de72ce7215ac	text unchanged; index -1
modern-en	57.6	57.5	14458032ef3f6d38	14458032ef3f6d38	text unchanged; index -1
modern-en	57.7	57.6	2751979fced8ae64	2751979fced8ae64	text unchanged; index -1
modern-en	57.8	57.7	7887de22cbec76c5	7887de22cbec76c5	text unchanged; index -1
modern-en	57.9	57.8	a3c42536ac171bd0	a3c42536ac171bd0	text unchanged; index -1
modern-en	57.10	57.9	705df4043a22222a	705df4043a22222a	text unchanged; index -1
modern-en	57.11	57.10	be62f3770e7be134	be62f3770e7be134	text unchanged; index -1
modern-en	73.title	73.title	10e113411a1107e0	19eafcc2d69759a2	title reassembled: 'Chapter 73 — Stubb and Flask kill a Right Whale; and Then Have a Talk' + fragment -> 'Chapter 73 — Stubb and Flask kill a Right Whale; and Then Have a Talk over Him'
modern-en	73.0	73.title	344667324e5ef42e	-	fragment 'over Him.' merged into title; paragraph removed
modern-en	73.1	73.0	3d5c185e12764e38	3d5c185e12764e38	text unchanged; index -1
modern-en	73.2	73.1	c3f4f2d6165f4e91	c3f4f2d6165f4e91	text unchanged; index -1
modern-en	73.3	73.2	39a13a08208b613a	39a13a08208b613a	text unchanged; index -1
modern-en	73.4	73.3	45996a23c7830c15	45996a23c7830c15	text unchanged; index -1
modern-en	73.5	73.4	16c6e10d148f0e89	16c6e10d148f0e89	text unchanged; index -1
modern-en	73.6	73.5	9e305f95e18579b6	9e305f95e18579b6	text unchanged; index -1
modern-en	73.7	73.6	8cbd883576a702e4	8cbd883576a702e4	text unchanged; index -1
modern-en	73.8	73.7	2dfb152c6975050d	2dfb152c6975050d	text unchanged; index -1
