chapter	paragraph_index	bd05_sha256	successor_sha256	edit_ids
1	4	a069d45db9c667d83b8c8ef7d054707312ebafa1c785bc984379f9bf75a3ae60	171930d3fcfbbcbc98d43d76f2b36775bcecbca625e79ad1b06baa9e6aa1e9dc	FR-1.4
2	23	4e674e6ce7e67c6d2562de56ea9a380547d377ed8d6a0a380650398724c92d07	d8ad2c3d5ffbf24cd013049815260adc5c8a83512866b8364ae24d7462f8eb51	FR-2.23
3	7	3196b481afafda626ba67aa299f63d3aa2984f8f7e59b6f54ebf07aa85ee1f25	6d73624ca31782ff5805f91752f1fb8931859945b92a652b8c1cfc5e6a05ffa9	B03-01
3	19	e3a4cb0dd15561318e08ea20aeb3a20961dc0116cccb80ddc709b506c59fabb8	205d3703bfc1afa7f992e447d203146353c5c80b270bc4e242017261d63ac6dc	B03-02
3	23	a686e1485558dcd479d1c5dd67d0ee455f18adc687581f80bb658a8fb7e3c774	f50d77db1b11e6f2b66053826f78a2f610c632f95de582e78889ad3a192f113e	B03-03,B03-04,B03-L1
4	3	e5d49496bdea330f5e9cfc351733fd7f3de87284fdba53db2ac4a08ec35d2dde	326575f56ca56994682468d51358ecf538ceb4ceb995a11660d72d0b82cda050	B04-06
4	8	fe0836421ff6aa178b1e3f0df6706725f4da417cac69eebf9e1c7448835c1cd0	cf942561083220da6f07dc1a3b978f42e63f6c896cb47923eb0c2ee5e19373e5	B04-07,B04-09
4	14	c37d1cdaafe6a420d2501563fca3ef2eba8b7fabaddc44d5d79b0aa084a690de	f6957d2d4256a2ff3a9779715815754d28a9ad14d63b965a3bea790b588ccdfd	B04-01
4	26	fcd5c7a31865fe73b085115b76fe1c06549d0828fb224873d2f4883e6ce47f8a	41152d47dcdd5c51ef257458f9a74a1723e5b7ba2544e2952e9462df3e3b2316	B04-08
4	27	7bb96fc963c72f83cf67a6eadda1cb506ab7483e679b1107ead2c0c8ac186e91	d927872af01857a578716510e62dcc12f2bf51ebbcbae30436aaa14279c92ca4	B04-05
4	28	3b673fc4bc5188006f29f83bb5f4774daef70d3e435225437e585d96419a5ac1	bf41e45bc23f474c06618ddc2afc2d229a564ff23ee60bccb05b3f463ae236b0	B04-02
4	39	5f2e264ca76ad107b9a279f9799a9185b3a3b17d80f26a1e11856e2e4c7eaec3	eb57cb561d1ce6368e4b0eaf5acea574d1c5140e68a863b037273b2fa6fdf902	FR-4.39
4	42	307856945f77336400a145ea7785ff19d565f0220de2ce738ef160412a0934d4	871905cb9e6a602a0532e46e1d29430d0336b72c8eb8f23369e3648110e63b10	B04-10
4	54	f26af2b3fe47b5944562955ae03047f06c8d459f62ff3dfe966a75eacc041875	500526436ee6b8ced774f8e5916fa23aa4d4ebe2063250b8c18a99218f2e7486	B04-03
4	57	6f1cc6421e16bb3002caf987830038a592872c96f6a10236f1569d684f206ec2	c2a61cafa87b3e4c240f69d92393c50d10c4c14a6d8dc6a262e0ebe6acac696d	B04-04
4	61	62fdb71a2f1fd300b73d49655fb7490bf25e0ac4bc6d3202f450a61f851d2abd	a26e5c158b8e0094689bc66b9b210d375334786df11d4fc1acd015c0c136e963	B04-12
4	64	a635698b2e5383f9341fe2c23b2096d2bda7913bd3bc8ad5c9919a72a3d4b205	88a1de1602142cb9ddaae0b3ced3e7ddbf9862b0795328b035c2d1abb19401af	B04-11
5	1	e9fc3c1eab0736b5b18ba78ef06038d182553ad3208da27746865798232c2525	734be15f49bd69b0a61e02ec460e5ea8c5b5102baeadca9e44b2f6b64a20b96e	B05-01
5	3	f6fc060afd9b0028f1c53c585b513858aecc0a43649c4e61e5df92da03768609	3b93be4dfe369b578f9e8d31631b20ac2563d0bc64f06a3fa1bf36388c03d0e0	FR-5.3
5	5	151100b51f9ff8f178175833db20afce28e9c28584ede0c60d431ff3a43fbd48	a7d5ccdb957f0359f1040887bfaf43c55f73bfb10432583ca77197b6982c1ee2	B05-02
5	8	41cbda7306185217c7dd9802b98b7536f27ade828a895ff6d34a6fc165e0a810	dad66d3bc3ea22612317651509717c5d638432401fd02569d9f4e29ece78625f	FR-5.8
5	19	7a16f7200aaba25ce4083517c6c298f0c3f1bf22fc5cba01b9424b20baa822e3	112970ecf3e8e5be644fe7ac77dcb0b8cf46afa799c648755ffc3075cedc5382	B05-03,B05-04
5	22	c686fca5bd806c0849fcc7ea682d5da8134c70112d5909020471784d1c0adc4f	83ec306706479382165b6ddead405fc8c8a8c0e320fdb4f62dd8c2a15b7a3cc6	B05-05
5	23	a32af72e56a7b78bc5954184791be70dc492108fa0924089b1186f7ad12fef2c	2935ca08b05471effaf22d64b4e2e0e699b18f6531e693f06001b18f53d6ae55	B05-07
5	34	7c68ffc8391c854b2caa3cce361016c91a7f948d1ff3a123bebfa4026df20a63	85275eae1af1e1b4ca5dcd72f00552c7faaf2d63a536c1b6cc88c865bb42063f	B05-08
5	36	1370d27eb4ce99784e4f0452432e12429b3cd2f1b7204b81440a5552f0265df0	cdfe7c763cc9238b6e9ae1115c52c63aae94f63ffcdf1a985a67aa98b53dd441	B05-09
6	8	ef57a94e3c6769da3c9823b171d10410c5c146abc5c6ecb08c432b02da1719ea	cf08a728b734ae3b23c0bb3d57b881828df6310e26c86722b0156c18762dbcf8	B06-01
6	11	1accf099c568a747124110042b5a08232cfcb57f11ca52078df54046916052e5	e0b7db64ed17bbfc8d23125c55f30918fa9934180aaeb968e4379ce7d06ed14b	B06-02
6	20	723c7e58fa6a1bcacab47ba9be61348456f782b3db390ff7c72670ac8d53c79a	a5d399d74ef5265e2a548b1fae3f39a3112f8e89711bd60c444d457385495775	B06-03
7	6	e2ea3f79555412df08b9954ef08719ba4005c2bd57f8850297236a3b947bff69	3b15622c1d914fd76d97f231d38a99ccc7674ad8f5e8e415965fc546e08572ca	B07-01
7	7	fed026493c7644a70f2c0c453f99c9fc3b3f716f542fd37364af5c96c8b745f8	68589f91c40fe39374b768a9046d548690c5bb96ec90166d24fa761c50eec3bc	B07-02
7	12	9937a1f14aca0620d7d5942592da418d29361106650b826d49b4faecec250793	41ed19b79db35d321cb258b65eb62c4f99e7e4cef96ed86ee374003491d3d25a	B07-03
7	17	a1299a870461b9ac2eee933b6341de218e338f5ee1808ddb4681c7694cff5401	29ae6a01f84b93d845fdd73e6717d4b463574e83dae7365d5664ec41c5c2a799	B07-04
