# sha256 of each raw paragraph (UTF-8). before = accepted completeness candidate 1e970b7beb3f098095ecf1a9fc7d78a8855d75e6ffc3bba14edc69db0e05374f; after = this candidate a848700fabaa280b3f174534df048cb3db14be5054a11c6e2a7095fb5536b76d.
coordinate	sha256_before	sha256_after	changed
1.0	ef7250288c0e09b2c54534a33b9e7260f346ef7ffe733bc7e37fb71dfcadf3fd	ef7250288c0e09b2c54534a33b9e7260f346ef7ffe733bc7e37fb71dfcadf3fd	no
1.1	d408be46351e13b874b162d1607b54f9e5ac66f9afe5e36c4e9da0c6004236b6	d408be46351e13b874b162d1607b54f9e5ac66f9afe5e36c4e9da0c6004236b6	no
1.2	a6812fa0e68e0845dc65619900a71cd4bcef50376f8030eba6d5d4aca36476b3	a6812fa0e68e0845dc65619900a71cd4bcef50376f8030eba6d5d4aca36476b3	no
1.3	17aef37dbd177b5cc661cbaa59bacbf1db3339dfb9273710f5e0bd33ecc959f4	17aef37dbd177b5cc661cbaa59bacbf1db3339dfb9273710f5e0bd33ecc959f4	no
1.4	ba403254bb0493e206df4540e9a0e0060ad68a489d8662f549e47cc90060d4c2	ba403254bb0493e206df4540e9a0e0060ad68a489d8662f549e47cc90060d4c2	no
1.5	20666242c63eb53d28b62a5359de17007d10cd47115875fc6bf57f5921177cde	20666242c63eb53d28b62a5359de17007d10cd47115875fc6bf57f5921177cde	no
1.6	24731c50eb63020c332bec143d74777269b03ba95c64c67af0a98e0ab45803bc	24731c50eb63020c332bec143d74777269b03ba95c64c67af0a98e0ab45803bc	no
1.7	3e044ef2cda90619987d21664244168f272c641719f86f5ef8f27dfed89ac9fd	3e044ef2cda90619987d21664244168f272c641719f86f5ef8f27dfed89ac9fd	no
1.8	f3d9a5747c9af840948147ab23e1e1c76e0405bc8e26c88884c8aa64b2e67662	f3d9a5747c9af840948147ab23e1e1c76e0405bc8e26c88884c8aa64b2e67662	no
1.9	d3fdc2420ddae1919f031a25d2eb8f15250891a6b77dafb609f150458141142e	3e795cca8a79e0b0b63e33f44c5154c94ab2e1e482c2d506f62c5dc490032e09	yes
1.10	15848e91470f4e7d3cc283b44428fd19b0fce4cf4300e239f1ef8754f58d4d68	15848e91470f4e7d3cc283b44428fd19b0fce4cf4300e239f1ef8754f58d4d68	no
1.11	cce06f059fc5d5b3156e5239cc7ec729782f7aac71bc79be99ed544fe2b0a785	cce06f059fc5d5b3156e5239cc7ec729782f7aac71bc79be99ed544fe2b0a785	no
1.12	3caf7ab0725ecb613c7ec132ce4a20352295a46315bc14e731793c3fa56089b4	988e8727d45936625967777220e7164b4e8ba584137129f1c7f14a502b713bb0	yes
1.13	ffcb4510c610d1f7b201e81ff8e59246068d88dfd1987b4388a649305db7387b	ffcb4510c610d1f7b201e81ff8e59246068d88dfd1987b4388a649305db7387b	no
