# Modern-en paragraphs whose displayed text differs from what the live site serves. Cached narration (Grok chunks, legacy per-paragraph audio,
# seek maps) built from the old text is stale for these. Final coordinates; live = main edition 7816d1eb (coordinate before the completeness regroup).
# changed_since_completeness = yes if this accessibility pass changed the paragraph (use this column alone if the completeness repair has already shipped).
final_coordinate	live_coordinate	reason	changed_since_completeness	live_sha256	final_sha256
1.0		inserted (restored opening, completeness C-02)	no		ef7250288c0e09b2c54534a33b9e7260f346ef7ffe733bc7e37fb71dfcadf3fd
1.1		inserted (restored opening, completeness C-02)	no		d408be46351e13b874b162d1607b54f9e5ac66f9afe5e36c4e9da0c6004236b6
1.2		inserted (restored opening, completeness C-02)	no		a6812fa0e68e0845dc65619900a71cd4bcef50376f8030eba6d5d4aca36476b3
1.3		inserted (restored opening, completeness C-02)	no		17aef37dbd177b5cc661cbaa59bacbf1db3339dfb9273710f5e0bd33ecc959f4
1.4		inserted (restored opening, completeness C-02)	no		ba403254bb0493e206df4540e9a0e0060ad68a489d8662f549e47cc90060d4c2
1.5		inserted (restored opening, completeness C-02)	no		20666242c63eb53d28b62a5359de17007d10cd47115875fc6bf57f5921177cde
1.6		inserted (restored opening, completeness C-02)	no		24731c50eb63020c332bec143d74777269b03ba95c64c67af0a98e0ab45803bc
1.7		inserted (restored opening, completeness C-02)	no		3e044ef2cda90619987d21664244168f272c641719f86f5ef8f27dfed89ac9fd
1.8		inserted (restored opening, completeness C-02)	no		f3d9a5747c9af840948147ab23e1e1c76e0405bc8e26c88884c8aa64b2e67662
1.9	1.0	text changed (accessibility)	yes	d3fdc2420ddae1919f031a25d2eb8f15250891a6b77dafb609f150458141142e	3e795cca8a79e0b0b63e33f44c5154c94ab2e1e482c2d506f62c5dc490032e09
1.12	1.3	text changed (accessibility)	yes	3caf7ab0725ecb613c7ec132ce4a20352295a46315bc14e731793c3fa56089b4	988e8727d45936625967777220e7164b4e8ba584137129f1c7f14a502b713bb0
1.14	1.5	text changed (accessibility)	yes	e15baf76f3bfa5344c1f5c14a22c1cca00d07649aae2f9190c4b9f4ffb89f472	07a5ab707430495ac1797ae7f763fdf827a213b725052176e903c28c21f3c5a2
