# Per-paragraph hashes of candidate/symposium-modern-en.json (sha256 of the raw UTF-8 paragraph text, the character-card paragraphHashes convention).
chapter	index	sha256	words	utf16_length	origin
1	0	ab383055a73a3235b5f38aaf58fb092152e8eacc4d20df142c645dc3625c90da	156	829	inserted: PG #1600 dialogue paragraph 0 (Modern English rendering)
1	1	d408be46351e13b874b162d1607b54f9e5ac66f9afe5e36c4e9da0c6004236b6	29	158	inserted: PG #1600 dialogue paragraph 1 (Modern English rendering)
1	2	a6812fa0e68e0845dc65619900a71cd4bcef50376f8030eba6d5d4aca36476b3	8	42	inserted: PG #1600 dialogue paragraph 2 (Modern English rendering)
1	3	7c74abc689842a9fa0ab6eb09cf78f219c4c24eadb30c436223740325580b8e7	86	454	inserted: PG #1600 dialogue paragraph 3 (Modern English rendering)
1	4	ba403254bb0493e206df4540e9a0e0060ad68a489d8662f549e47cc90060d4c2	12	72	inserted: PG #1600 dialogue paragraph 4 (Modern English rendering)
1	5	24f4a89d91b5bee31448c41e64dc6dbcf79d65d974ad962ed4efb2fbd3bade81	29	160	inserted: PG #1600 dialogue paragraph 5 (Modern English rendering)
1	6	24731c50eb63020c332bec143d74777269b03ba95c64c67af0a98e0ab45803bc	19	88	inserted: PG #1600 dialogue paragraph 6 (Modern English rendering)
1	7	a91a5fdce3d590e8daa28ea0e753f0e9019b39edd7b660b2fb241ebcf253aa4b	219	1181	inserted: PG #1600 dialogue paragraph 7 (Modern English rendering)
1	8	3365abdee8fd00b744d48ba4e266b0d0fea2b3009a317097229090d05b833b26	69	391	inserted: PG #1600 dialogue paragraph 8 (Modern English rendering)
1	9	d3fdc2420ddae1919f031a25d2eb8f15250891a6b77dafb609f150458141142e	32	177	baseline 1.0 (unchanged)
1	10	15848e91470f4e7d3cc283b44428fd19b0fce4cf4300e239f1ef8754f58d4d68	19	110	baseline 1.1 (unchanged)
1	11	cce06f059fc5d5b3156e5239cc7ec729782f7aac71bc79be99ed544fe2b0a785	28	150	baseline 1.2 (unchanged)
1	12	3caf7ab0725ecb613c7ec132ce4a20352295a46315bc14e731793c3fa56089b4	40	200	baseline 1.3 (unchanged)
1	13	ffcb4510c610d1f7b201e81ff8e59246068d88dfd1987b4388a649305db7387b	54	281	baseline 1.4 (unchanged)
1	14	e15baf76f3bfa5344c1f5c14a22c1cca00d07649aae2f9190c4b9f4ffb89f472	8	35	baseline 1.5 (unchanged)
1	15	3cc065c5403e1dae7b883b050e7b37b5bb79727420763be3431babcdefefb405	10	61	baseline 1.6 (unchanged)
1	16	0f58ae27aa1b93cd80fb30adf79730216bcd5cffd4eb9878619d5376c32f5830	10	53	baseline 1.7 (unchanged)
1	17	c96d680202b5fa3cc641da1d3be17237ac07799e71f449932ff3c93a0928064c	6	33	baseline 1.8 (unchanged)
1	18	c3363670fcff1907a54e3b7d21ced0b2970c95028e5f65719c30591fad70ae81	10	49	baseline 1.9 (unchanged)
1	19	242eb8a67d064167c6f8b867cbb819dd46ba5d9c727a357dbb60c2b0a295f5d7	67	391	baseline 1.10 (unchanged)
1	20	c36179d1ccdf5867a52a9506fa0b3a5eddf9da15d67ffc0da35fe9d531664867	26	149	baseline 1.11 (unchanged)
1	21	1e06c286ec38fc1b0bd8cd3f5ce6a46d4341a730536087d7b529ab6b3c9685a8	8	42	baseline 1.12 (unchanged)
1	22	62b8f300e418cb0fba19e56099782c550206adba4f64fa91e0acd9a296f75281	20	88	baseline 1.13 (unchanged)
1	23	b6e40de1ea5c8f11dff1b358123e6f679b52dea448483d2ea46490ee067b2f29	3	21	baseline 1.14 (unchanged)
1	24	0e50eac693820081691739a1e9aa8c68fafd384b1a446154f5dcf50f845d2958	17	87	baseline 1.15 (unchanged)
1	25	a06e448f8f0997b867a77ba765f1780c10d462bd11be958eea9522002b3875ea	137	726	baseline 1.16 (unchanged)
1	26	41164ee7bde7fbac1a280fc810c0023c61ba471704a6b1a4ec4ef52a725ccda3	36	172	baseline 1.17 (unchanged)
1	27	5b2baf061a5ef8f9cf85ba95ae775dba9b3b779a6ae848689e8b5decc884d224	13	74	baseline 1.18 (unchanged)
1	28	7ff28adb454fa2278c41ef6784407a97c4e952ca94993e27b61aeb83aec43ba1	20	95	baseline 1.19 (unchanged)
1	29	4f50d10b6435904adafe7ad31da1851072f0df5d83819520ff1f1e865bb102dd	23	130	baseline 1.20 (unchanged)
1	30	583ef356d50cae4a5eb13a27b990b2a615b4c72ab58930370b8087aa92490b46	48	264	baseline 1.21 (unchanged)
1	31	8f5457b049973e72aec085f2188102de22793e4a9e0c1ece72866f13643a0e1a	14	82	baseline 1.22 (unchanged)
1	32	c20e0684d7861a13d8cd5da026cd041a87fc57aad4ae4816354d37b6a1c8f68e	31	172	baseline 1.23 (unchanged)
1	33	629de5207781e348c8ab991fbf00ccc00b75d387234bab94b2fc034955231570	194	1012	baseline 1.24 (unchanged)
1	34	60302434fdc912e5d166207935f5e18a357bf79fabb8adddc4e082ac5103d11f	120	631	baseline 1.25 (unchanged)
1	35	7d3443a066c7885d2f22c6e67b4e9ef2dae04bf7822d4e46b32c2c081dd1c6ea	41	220	baseline 1.26 (unchanged)
1	36	50a64f86cbfea2c94d5aa592a8485749e6696d793f278b26d52d59f7d1698bcb	101	563	baseline 1.27 (unchanged)
1	37	1f7b54d7e1ebe18cf513a138879b487449751209835b702893b9dd080c7a77a6	27	156	baseline 1.28 (unchanged)
1	38	6e62dd1da345f29cb564bfad15b8ce293634ebbe1dff162668e75f58c0f90be5	29	157	baseline 1.29 (unchanged)
1	39	bb15cfebdcceef2474d03bf47a74b759a734eeadda1136b7d9c98ad51c09add3	8	37	baseline 1.30 (unchanged)
