# Per-paragraph hashes of candidate/symposium-original-en.json (sha256 of the raw UTF-8 paragraph text, the character-card paragraphHashes convention).
chapter	index	sha256	words	utf16_length	origin
1	0	91b4e9641d6803e752a9a95861f75cea5019a7acbe3d0a3fa45f487ac29e4d9a	177	949	inserted: PG #1600 dialogue paragraph 0 (verbatim)
1	1	fe61be31b6448ce16053c550ce6ad07b9d37b7520efeee9978de19737e645496	28	156	inserted: PG #1600 dialogue paragraph 1 (verbatim)
1	2	656d25916b55a7625830cc9c302471823703b70e9adc842d0c1043c7def1dcf7	7	35	inserted: PG #1600 dialogue paragraph 2 (verbatim)
1	3	0d557a23652edd2e69e97b6f1c7945f07ff0726fbaf639c9967dc7008a0b0a58	86	455	inserted: PG #1600 dialogue paragraph 3 (verbatim)
1	4	f8ec30e715fffd1f1e7ef1c988d2929e5d7991c8fe2d99144c8b66dca3593e6e	11	64	inserted: PG #1600 dialogue paragraph 4 (verbatim)
1	5	bcde0df6266de542dcae865ef1242cbbd9aca5c7b877a0ef411a77dd5fe0faaf	30	160	inserted: PG #1600 dialogue paragraph 5 (verbatim)
1	6	f75095194a19573d57738182bf03d51a02fb1cdc69f498acf5ce08397ec382b6	16	81	inserted: PG #1600 dialogue paragraph 6 (verbatim)
1	7	33e311e2aa8fc0d1ca006f49cea43e932f6377f53a936c1591b0824df593717e	227	1231	inserted: PG #1600 dialogue paragraph 7 (verbatim)
1	8	e58a22e2c1a9db757a032360701614c8621380ae3223780847308fb6213949d4	66	389	inserted: PG #1600 dialogue paragraph 8 (verbatim)
1	9	236ff24ad3a77068e339e1199f4c34440ec2bcf551384efeb4713e70a455e772	34	172	baseline 1.0 (unchanged)
1	10	8b0d7ba8c7f76839371500ebba39a781f4c05355a86a78fbf96230b15e431058	18	108	baseline 1.1 (unchanged)
1	11	dc9c61412ffbd388359d16d56d51d8312eef4027af8ae8897640ff92b25013f5	28	161	baseline 1.2 (unchanged)
1	12	a21fc118ea43e55173d8ffcf4fae449720e3e33a84548b3b71f555378a54efb7	37	189	baseline 1.3 (unchanged)
1	13	510a4fc546de39c1c0d86dc11e294bd501f07545189d667e489ec91f4be922fd	51	271	baseline 1.4 (unchanged)
1	14	81f936cffa5421ac0ed2afebe1969954ec8839e2ae19b0abbea21732436b7b4b	9	35	baseline 1.5 (unchanged)
1	15	6d899c965a3dd9318d3c653ad96136d1735bb5feb295abc9cfad10dbe55d7806	10	56	baseline 1.6 (unchanged)
1	16	0f58ae27aa1b93cd80fb30adf79730216bcd5cffd4eb9878619d5376c32f5830	10	53	baseline 1.7 (unchanged)
1	17	09518b4b85984f2a8d620907f97dd2320f4141df2914dad525c638078c2f389d	7	40	baseline 1.8 (unchanged)
1	18	c3363670fcff1907a54e3b7d21ced0b2970c95028e5f65719c30591fad70ae81	10	49	baseline 1.9 (unchanged)
1	19	f7fcdc7f5dced5405384d160b514c4b2548ddfab25a35535bb1cc833d280b981	66	394	baseline 1.10 (unchanged)
1	20	2b95e8990e0c13f48b34a26ce703f022a4c3a98523b66eaa946718fbead4c151	26	144	baseline 1.11 (unchanged)
1	21	1e06c286ec38fc1b0bd8cd3f5ce6a46d4341a730536087d7b529ab6b3c9685a8	8	42	baseline 1.12 (unchanged)
1	22	e0eda5aac31fe652bddda84e047c2ca3c48317a3d86b099a57306d72324adb69	19	83	baseline 1.13 (unchanged)
1	23	b6e40de1ea5c8f11dff1b358123e6f679b52dea448483d2ea46490ee067b2f29	3	21	baseline 1.14 (unchanged)
1	24	3abf8bb5ed6edc8490066a7adc38197d9572a920b6521440e7a400595a8fa789	18	93	baseline 1.15 (unchanged)
1	25	71c0e58c577a6072a66edd44242a0bd5e079b3e29d802ed8d407a934478129e9	133	706	baseline 1.16 (unchanged)
1	26	cbfd1b01dcb0e000258fcb15a1179a0c417eee269a8a2af40217bd8eeda287f8	34	164	baseline 1.17 (unchanged)
