# Symposium old -> new paragraph map. Applies identically to original-en and modern-en.
# Coordinates: chapter number (1-based) . paragraph index (0-based), matching reader chapterNumber/paragraphIndex.
# Old = served baseline at main 38a97c6315fdad4fe01fe326c203f870e22e615b (original-en sha256 e2943777fd54eaaa0888076c5c03a9104bc1b1ffa681a5362ab114e327f797c0, modern-en sha256 7816d1eb6ac9cc6d178c4c123bbeb8ad6daced1f7d7fc8c036f2bded3b8fcce8).
# No paragraph is merged, split or deleted, so offset_shift_* is 0 on every row (the columns keep the format read by prepare-structural-migration.py).
# Text is carried byte for byte (old hash == new hash) except modern-en 3.3, 3.7, 3.8 (C-06), marked text_changed=modern-en:
#   for those three, use mapping/changed-paragraph-ops.json (UTF-16 char and word opcodes) to project offsets.
# op: keep = same coordinate; renumber = same chapter, new index (+9 in chapter 1); move = new chapter (7.69-7.114 -> 8.0-8.45; 8.0 -> 8.46).
# New coordinates 1.0-1.8 have no old coordinate: they are the restored passages listed in inserted-paragraphs.tsv.
old_chapter	old_index	new_chapter	new_index	op	offset_shift_original_en	offset_shift_modern_en	text_changed	old_sha256_original_en	new_sha256_original_en	old_sha256_modern_en	new_sha256_modern_en
1	0	1	9	renumber	0	0	none	236ff24ad3a77068e339e1199f4c34440ec2bcf551384efeb4713e70a455e772	236ff24ad3a77068e339e1199f4c34440ec2bcf551384efeb4713e70a455e772	d3fdc2420ddae1919f031a25d2eb8f15250891a6b77dafb609f150458141142e	d3fdc2420ddae1919f031a25d2eb8f15250891a6b77dafb609f150458141142e
1	1	1	10	renumber	0	0	none	8b0d7ba8c7f76839371500ebba39a781f4c05355a86a78fbf96230b15e431058	8b0d7ba8c7f76839371500ebba39a781f4c05355a86a78fbf96230b15e431058	15848e91470f4e7d3cc283b44428fd19b0fce4cf4300e239f1ef8754f58d4d68	15848e91470f4e7d3cc283b44428fd19b0fce4cf4300e239f1ef8754f58d4d68
1	2	1	11	renumber	0	0	none	dc9c61412ffbd388359d16d56d51d8312eef4027af8ae8897640ff92b25013f5	dc9c61412ffbd388359d16d56d51d8312eef4027af8ae8897640ff92b25013f5	cce06f059fc5d5b3156e5239cc7ec729782f7aac71bc79be99ed544fe2b0a785	cce06f059fc5d5b3156e5239cc7ec729782f7aac71bc79be99ed544fe2b0a785
1	3	1	12	renumber	0	0	none	a21fc118ea43e55173d8ffcf4fae449720e3e33a84548b3b71f555378a54efb7	a21fc118ea43e55173d8ffcf4fae449720e3e33a84548b3b71f555378a54efb7	3caf7ab0725ecb613c7ec132ce4a20352295a46315bc14e731793c3fa56089b4	3caf7ab0725ecb613c7ec132ce4a20352295a46315bc14e731793c3fa56089b4
1	4	1	13	renumber	0	0	none	510a4fc546de39c1c0d86dc11e294bd501f07545189d667e489ec91f4be922fd	510a4fc546de39c1c0d86dc11e294bd501f07545189d667e489ec91f4be922fd	ffcb4510c610d1f7b201e81ff8e59246068d88dfd1987b4388a649305db7387b	ffcb4510c610d1f7b201e81ff8e59246068d88dfd1987b4388a649305db7387b
1	5	1	14	renumber	0	0	none	81f936cffa5421ac0ed2afebe1969954ec8839e2ae19b0abbea21732436b7b4b	81f936cffa5421ac0ed2afebe1969954ec8839e2ae19b0abbea21732436b7b4b	e15baf76f3bfa5344c1f5c14a22c1cca00d07649aae2f9190c4b9f4ffb89f472	e15baf76f3bfa5344c1f5c14a22c1cca00d07649aae2f9190c4b9f4ffb89f472
1	6	1	15	renumber	0	0	none	6d899c965a3dd9318d3c653ad96136d1735bb5feb295abc9cfad10dbe55d7806	6d899c965a3dd9318d3c653ad96136d1735bb5feb295abc9cfad10dbe55d7806	3cc065c5403e1dae7b883b050e7b37b5bb79727420763be3431babcdefefb405	3cc065c5403e1dae7b883b050e7b37b5bb79727420763be3431babcdefefb405
1	7	1	16	renumber	0	0	none	0f58ae27aa1b93cd80fb30adf79730216bcd5cffd4eb9878619d5376c32f5830	0f58ae27aa1b93cd80fb30adf79730216bcd5cffd4eb9878619d5376c32f5830	0f58ae27aa1b93cd80fb30adf79730216bcd5cffd4eb9878619d5376c32f5830	0f58ae27aa1b93cd80fb30adf79730216bcd5cffd4eb9878619d5376c32f5830
1	8	1	17	renumber	0	0	none	09518b4b85984f2a8d620907f97dd2320f4141df2914dad525c638078c2f389d	09518b4b85984f2a8d620907f97dd2320f4141df2914dad525c638078c2f389d	c96d680202b5fa3cc641da1d3be17237ac07799e71f449932ff3c93a0928064c	c96d680202b5fa3cc641da1d3be17237ac07799e71f449932ff3c93a0928064c
1	9	1	18	renumber	0	0	none	c3363670fcff1907a54e3b7d21ced0b2970c95028e5f65719c30591fad70ae81	c3363670fcff1907a54e3b7d21ced0b2970c95028e5f65719c30591fad70ae81	c3363670fcff1907a54e3b7d21ced0b2970c95028e5f65719c30591fad70ae81	c3363670fcff1907a54e3b7d21ced0b2970c95028e5f65719c30591fad70ae81
